FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,HST,AS,AST
3,1,Home,1,0,Home,10,6,12,7
4,2,Home,0,0,Draw,14,7,6,5
2,1,Home,2,0,Home,11,7,16,9
2,2,Draw,1,1,Draw,13,8,13,10
0,1,Away,0,0,Draw,21,9,7,2
0,2,Away,0,0,Draw,22,11,8,3
3,2,Home,1,1,Draw,11,7,12,8
2,0,Home,0,0,Draw,15,4,13,4
2,3,Away,0,2,Away,13,8,13,9
3,1,Home,2,0,Home,13,10,24,14
3,0,Home,1,0,Home,21,15,5,2
1,0,Home,0,0,Draw,15,7,19,10
2,1,Home,0,1,Away,12,7,18,6
2,3,Away,1,1,Draw,16,9,9,4
2,2,Draw,0,1,Away,20,10,4,3
2,0,Home,0,0,Draw,16,9,16,6
0,2,Away,0,1,Away,19,7,11,7
1,1,Draw,1,1,Draw,15,11,12,9
1,0,Home,0,0,Draw,13,6,9,8
3,1,Home,1,0,Home,18,9,19,12
0,0,Draw,0,0,Draw,16,5,8,6
1,1,Draw,1,0,Home,19,12,11,5
0,0,Draw,0,0,Draw,10,7,15,9
0,1,Away,0,0,Draw,20,15,10,3
2,0,Home,0,0,Draw,16,9,14,8
0,0,Draw,0,0,Draw,7,3,8,3
1,0,Home,0,0,Draw,7,2,21,12
0,0,Draw,0,0,Draw,10,7,10,5
1,0,Home,0,0,Draw,18,10,13,7
3,1,Home,2,0,Home,12,8,19,11
1,0,Home,0,0,Draw,15,8,9,5
2,0,Home,0,0,Draw,21,9,18,11
1,0,Home,0,0,Draw,17,8,7,4
2,0,Home,1,0,Home,12,11,9,4
0,0,Draw,0,0,Draw,8,2,22,15
1,3,Away,0,2,Away,14,8,11,8
1,1,Draw,0,1,Away,18,9,11,6
2,1,Home,1,0,Home,16,11,14,9
3,1,Home,1,0,Home,29,14,12,7
2,0,Home,2,0,Home,7,5,15,7
1,0,Home,0,0,Draw,14,9,13,8
1,4,Away,0,1,Away,18,9,21,13
1,3,Away,0,0,Draw,19,9,14,9
2,4,Away,0,3,Away,19,11,14,11
1,2,Away,1,0,Home,19,10,9,8
1,1,Draw,0,1,Away,7,5,16,8
2,0,Home,0,0,Draw,26,11,9,5
3,2,Home,1,1,Draw,20,13,9,9
1,4,Away,0,3,Away,18,8,12,7
1,0,Home,0,0,Draw,14,8,12,6
0,1,Away,0,0,Draw,19,10,14,8
2,4,Away,1,2,Away,14,9,9,6
1,3,Away,1,0,Home,16,8,23,16
3,2,Home,1,0,Home,10,5,15,9
0,3,Away,0,2,Away,12,7,9,7
1,0,Home,1,0,Home,16,9,9,5
2,1,Home,1,0,Home,13,8,18,10
2,1,Home,1,0,Home,17,10,9,4
0,2,Away,0,2,Away,12,7,10,6
3,1,Home,0,1,Away,27,13,8,6
0,3,Away,0,1,Away,16,9,18,13
0,1,Away,0,0,Draw,10,4,14,9
2,0,Home,1,0,Home,9,5,10,2
2,0,Home,0,0,Draw,22,10,3,3
2,0,Home,2,0,Home,19,12,9,6
2,3,Away,1,1,Draw,7,5,16,11
2,2,Draw,1,1,Draw,12,8,6,6
1,0,Home,1,0,Home,15,6,9,5
2,1,Home,2,1,Home,10,8,15,8
0,4,Away,0,1,Away,16,8,13,7
1,2,Away,1,0,Home,16,10,16,8
2,0,Home,1,0,Home,15,12,12,7
1,2,Away,0,1,Away,16,7,9,5
0,1,Away,0,0,Draw,18,8,15,8
1,1,Draw,1,1,Draw,13,4,13,6
3,2,Home,1,0,Home,12,8,13,8
2,1,Home,1,1,Draw,9,6,12,6
2,0,Home,1,0,Home,24,13,6,3
4,0,Home,2,0,Home,32,20,12,8
0,3,Away,0,0,Draw,23,7,11,7
1,1,Draw,0,1,Away,17,8,17,10
1,0,Home,0,0,Draw,22,9,6,3
2,0,Home,1,0,Home,17,8,11,6
0,2,Away,0,1,Away,16,10,9,6
1,4,Away,0,1,Away,8,1,21,16
1,2,Away,1,1,Draw,16,6,8,5
2,2,Draw,0,0,Draw,15,10,19,12
3,1,Home,2,1,Home,10,5,19,9
2,3,Away,2,1,Home,13,8,24,15
0,3,Away,0,2,Away,5,2,24,14
2,0,Home,1,0,Home,17,14,19,7
2,3,Away,1,2,Away,13,6,16,11
3,0,Home,2,0,Home,20,9,10,9
0,2,Away,0,2,Away,20,11,11,2
1,2,Away,1,1,Draw,23,13,6,3
5,2,Home,3,0,Home,18,11,7,4
1,2,Away,0,0,Draw,20,11,18,11
4,0,Home,2,0,Home,18,13,14,5
0,3,Away,0,0,Draw,26,12,15,8
2,1,Home,1,0,Home,13,9,12,9
0,2,Away,0,1,Away,16,7,24,14
2,1,Home,2,0,Home,22,9,10,5
2,1,Home,1,1,Draw,22,15,9,6
0,2,Away,0,0,Draw,9,3,23,13
2,2,Draw,0,1,Away,16,7,10,4
3,0,Home,1,0,Home,27,13,6,0
2,2,Draw,0,2,Away,17,4,20,9
1,0,Home,1,0,Home,19,5,10,3
0,1,Away,0,1,Away,10,2,14,8
0,0,Draw,0,0,Draw,21,7,10,5
1,3,Away,0,1,Away,13,4,13,8
1,3,Away,0,1,Away,12,4,7,4
0,2,Away,0,1,Away,19,7,11,7
1,2,Away,1,0,Home,6,1,10,3
2,2,Draw,0,0,Draw,10,3,22,7
1,3,Away,0,1,Away,16,3,12,6
1,2,Away,0,2,Away,11,1,8,4
3,1,Home,0,1,Away,12,6,20,2
4,1,Home,2,0,Home,20,11,9,4
0,4,Away,0,1,Away,17,1,14,6
1,2,Away,0,2,Away,26,9,10,3
1,0,Home,0,0,Draw,18,7,12,2
2,1,Home,1,0,Home,11,5,13,4
3,0,Home,1,0,Home,22,9,5,0
2,0,Home,0,0,Draw,16,3,18,7
3,0,Home,1,0,Home,24,7,10,1
3,0,Home,3,0,Home,30,15,5,2
0,1,Away,0,0,Draw,12,1,11,6
1,0,Home,1,0,Home,13,8,17,5
1,0,Home,1,0,Home,12,6,7,1
1,1,Draw,1,0,Home,10,2,33,11
1,1,Draw,1,0,Home,21,10,7,4
1,1,Draw,1,0,Home,18,9,14,5
3,0,Home,0,0,Draw,18,8,7,2
3,2,Home,2,1,Home,12,4,10,3
0,1,Away,0,0,Draw,25,2,16,4
2,1,Home,1,0,Home,17,6,6,3
2,1,Home,1,0,Home,17,7,11,3
1,1,Draw,0,0,Draw,15,2,7,5
1,0,Home,0,0,Draw,11,5,17,5
3,0,Home,3,0,Home,6,5,13,4
1,1,Draw,0,1,Away,14,6,12,5
4,2,Home,1,0,Home,14,7,9,5
2,1,Home,1,0,Home,16,4,17,7
2,0,Home,0,0,Draw,21,4,11,4
2,2,Draw,0,2,Away,21,11,14,4
3,0,Home,0,0,Draw,24,8,7,4
1,2,Away,0,0,Draw,16,5,15,6
1,2,Away,1,0,Home,9,3,19,6
0,0,Draw,0,0,Draw,20,1,8,4
1,2,Away,1,1,Draw,15,6,8,3
1,0,Home,0,0,Draw,19,5,14,3
2,0,Home,1,0,Home,17,6,9,2
3,2,Home,1,1,Draw,21,9,23,8
3,0,Home,1,0,Home,32,12,2,0
4,1,Home,3,1,Home,21,10,12,3
0,3,Away,0,0,Draw,10,3,15,5
1,4,Away,0,2,Away,15,6,14,7
0,3,Away,0,2,Away,7,2,22,9
0,2,Away,0,1,Away,11,4,19,8
1,3,Away,1,1,Draw,14,2,13,4
1,1,Draw,0,0,Draw,13,5,16,4
5,0,Home,0,0,Draw,32,12,10,2
0,2,Away,0,0,Draw,12,3,11,3
0,1,Away,0,0,Draw,17,6,14,3
1,2,Away,0,1,Away,16,5,13,5
1,0,Home,0,0,Draw,17,2,10,2
1,0,Home,1,0,Home,16,5,8,2
3,3,Draw,1,1,Draw,18,6,17,9
2,2,Draw,1,0,Home,20,6,12,2
2,1,Home,2,0,Home,11,4,24,8
3,1,Home,1,1,Draw,15,6,6,1
0,1,Away,0,1,Away,17,11,17,5
8,1,Home,4,1,Home,22,12,6,2
2,2,Draw,2,0,Home,16,7,17,9
2,1,Home,1,1,Draw,16,4,8,2
2,1,Home,1,1,Draw,17,5,26,6
0,1,Away,0,0,Draw,12,3,13,3
1,3,Away,1,1,Draw,9,4,19,5
0,0,Draw,0,0,Draw,10,5,15,3
0,2,Away,0,0,Draw,13,2,6,4
0,2,Away,0,1,Away,8,5,14,5
1,0,Home,0,0,Draw,11,4,3,1
3,0,Home,2,0,Home,23,13,12,6
2,1,Home,0,0,Draw,14,3,22,8
1,2,Away,0,1,Away,18,6,11,4
1,2,Away,1,1,Draw,7,4,20,8
4,1,Home,3,0,Home,15,7,13,5
1,1,Draw,0,1,Away,11,4,9,6
2,2,Draw,0,1,Away,29,8,11,9
5,1,Home,1,1,Draw,20,8,12,6
3,2,Home,0,0,Draw,26,11,12,5
2,2,Draw,2,2,Draw,20,10,6,3
0,0,Draw,0,0,Draw,15,3,8,1
0,0,Draw,0,0,Draw,14,4,12,3
1,1,Draw,0,0,Draw,16,4,15,2
0,0,Draw,0,0,Draw,7,3,16,3
2,0,Home,2,0,Home,14,4,14,0
1,1,Draw,1,1,Draw,11,1,14,5
1,0,Home,0,0,Draw,16,4,23,5
3,1,Home,2,0,Home,18,6,14,3
0,0,Draw,0,0,Draw,18,2,14,3
0,1,Away,0,1,Away,17,3,12,3
1,0,Home,0,0,Draw,16,5,15,3
0,0,Draw,0,0,Draw,34,12,4,0
2,1,Home,1,0,Home,20,7,12,4
2,1,Home,0,0,Draw,21,5,12,5
4,0,Home,3,0,Home,19,11,8,3
0,1,Away,0,1,Away,21,5,13,5
1,0,Home,1,0,Home,16,8,11,3
5,3,Home,4,0,Home,16,8,18,7
1,0,Home,1,0,Home,11,5,17,3
0,2,Away,0,1,Away,21,3,10,4
1,1,Draw,0,0,Draw,29,14,8,2
3,2,Home,1,0,Home,18,9,19,4
1,0,Home,0,0,Draw,13,4,10,3
1,1,Draw,1,1,Draw,13,4,13,4
3,1,Home,3,0,Home,13,6,27,7
4,0,Home,2,0,Home,22,9,10,3
3,1,Home,0,1,Away,10,7,12,3
1,2,Away,0,1,Away,19,9,16,7
2,1,Home,0,1,Away,18,5,10,3
2,1,Home,1,0,Home,20,7,11,4
3,0,Home,2,0,Home,17,12,17,4
0,2,Away,0,0,Draw,9,5,18,8
1,4,Away,1,1,Draw,11,3,16,9
2,3,Away,1,1,Draw,12,4,17,8
4,1,Home,0,1,Away,22,11,5,1
2,0,Home,1,0,Home,10,7,4,1
2,0,Home,1,0,Home,17,7,4,1
0,3,Away,0,0,Draw,17,5,19,10
2,0,Home,0,0,Draw,14,3,17,4
0,3,Away,0,1,Away,14,4,13,6
1,0,Home,1,0,Home,14,3,9,2
1,2,Away,1,1,Draw,17,6,18,6
2,1,Home,1,0,Home,19,4,12,5
2,2,Draw,1,1,Draw,11,5,12,4
0,1,Away,0,1,Away,11,4,14,6
1,0,Home,0,0,Draw,10,2,16,0
6,1,Home,2,0,Home,17,12,3,1
0,0,Draw,0,0,Draw,22,4,8,2
2,2,Draw,1,1,Draw,17,6,11,4
2,2,Draw,0,0,Draw,16,7,15,5
0,0,Draw,0,0,Draw,24,6,6,3
4,3,Home,3,2,Home,7,3,16,6
3,1,Home,1,0,Home,18,8,20,10
3,0,Home,1,0,Home,17,5,6,0
2,1,Home,2,0,Home,14,5,8,1
5,1,Home,3,0,Home,11,6,15,3
2,0,Home,0,0,Draw,18,5,10,2
0,0,Draw,0,0,Draw,8,2,19,3
1,1,Draw,0,0,Draw,14,5,15,6
2,1,Home,2,0,Home,9,4,10,1
5,2,Home,1,1,Draw,22,10,10,5
4,0,Home,2,0,Home,12,7,13,5
0,1,Away,0,1,Away,15,4,9,4
2,0,Home,2,0,Home,25,7,10,3
1,2,Away,0,2,Away,9,3,17,6
0,1,Away,0,1,Away,15,5,11,6
2,3,Away,1,0,Home,6,4,13,6
3,3,Draw,2,0,Home,15,8,21,9
1,1,Draw,0,1,Away,12,2,17,8
0,3,Away,0,1,Away,11,3,22,9
2,0,Home,0,0,Draw,13,3,19,6
4,1,Home,1,0,Home,12,4,12,3
1,2,Away,1,0,Home,20,10,8,4
2,1,Home,1,0,Home,12,5,9,2
3,3,Draw,2,1,Home,13,4,10,5
2,2,Draw,1,0,Home,9,4,11,3
1,1,Draw,0,1,Away,21,8,19,8
1,1,Draw,1,1,Draw,19,5,10,2
1,3,Away,1,2,Away,15,4,14,9
2,1,Home,1,1,Draw,15,8,14,4
1,1,Draw,1,1,Draw,15,4,6,2
2,3,Away,1,2,Away,13,5,16,5
1,2,Away,0,0,Draw,14,4,12,4
0,2,Away,0,1,Away,12,3,8,2
2,3,Away,0,2,Away,22,5,17,9
1,0,Home,0,0,Draw,12,4,10,2
1,0,Home,0,0,Draw,14,4,7,1
2,2,Draw,0,1,Away,13,10,10,5
2,0,Home,1,0,Home,22,6,6,0
3,0,Home,1,0,Home,13,6,10,1
0,3,Away,0,0,Draw,9,2,15,9
2,1,Home,1,0,Home,9,5,15,3
0,2,Away,0,1,Away,17,5,15,7
1,0,Home,0,0,Draw,16,3,7,2
1,0,Home,0,0,Draw,8,3,20,8
1,0,Home,0,0,Draw,9,5,6,0
3,1,Home,2,0,Home,13,5,12,4
0,0,Draw,0,0,Draw,11,3,12,5
1,1,Draw,0,0,Draw,16,3,7,3
1,1,Draw,0,0,Draw,23,8,1,1
